date,close,returns,label,rsi_14,macd,bb_upper,bb_lower,sma_7,sma_30,sentiment_avg,fear_greed,buy_hold,model,random,pred,in_market
2025-08-08,116674.74,-0.00681,0,53.82,334.011549,120872.38269997,112591.72430003,115011.27857143,117195.249,0.0,74.0,19168.91211000009,5712.071567653872,13040.75466182448,0,0
2025-08-09,116462.25,-0.001823,1,53.08,353.478721,120826.04141066,112557.77858934,115570.69285714,117210.324,0.0,67.0,19134.001364672917,5712.071567653872,13003.987615352336,0,0
2025-08-10,119294.01,0.024024,0,60.8,590.597917,121074.56935565,112500.61564435,116297.15142857,117269.20233333,0.0,69.0,19599.24138626297,5712.071567653872,12990.983627736983,0,0
2025-08-11,118686.0,-0.00511,1,58.57,721.142381,120848.32424414,112600.01875586,116815.86142857,117311.40233333,0.0,70.0,19499.34923949666,5712.071567653872,12990.983627736983,0,0
2025-08-12,120134.08,0.012127,1,62.13,930.719014,121102.06912405,112484.08287595,117673.62285714,117346.317,0.0,68.0,19737.259503948495,5712.071567653872,13136.336270047284,0,0
2025-08-13,123306.43,0.026064,0,68.51,1337.375704,122211.91686086,111870.77913914,118861.36,117461.82533333,0.0,73.0,20258.45627997867,5712.071567653872,13123.199933777238,0,0
2025-08-14,118295.09,-0.04149,0,53.25,1240.975609,122270.74173925,111880.03226075,118978.94285714,117479.72533333,0.0,75.0,19435.12523151584,5474.445332347014,13123.199933777238,1,1
2025-08-15,117342.05,-0.008089,1,50.92,1075.280315,122228.47663007,111864.50336993,119074.27285714,117436.77933333,0.0,60.0,19278.546866761702,5468.970887014667,13123.199933777238,0,0
2025-08-16,117380.66,0.000329,1,51.02,936.288157,122009.46072039,111880.03027961,119205.47428571,117376.88266667,0.0,56.0,19284.890242342117,5468.970887014667,13114.390448003845,0,0
2025-08-17,117405.01,0.000207,0,51.08,818.663667,121954.54291551,111869.21708449,118935.61714286,117359.555,0.0,64.0,19288.890791303085,5468.970887014667,13117.110959265316,0,0
